id,socre,label,text,,,,
41,0.5771 ,,"I hate that I need it. Facebook steals all my personal information but because of business, I have no choice but to use it. If youre a manager please try other apps for your work groups.",,,,
42,0.5769 ,,Invade privacy. It takes some of my information,,,,
43,0.5750 ,,DONT USE THIS APP. Not only will they censor what you believe in. Facebook sells your information which can lead to fraud calls or even death threats,,,,
44,0.5749 ,,Review of Facebook. Their censorship and marketing of your personal information is highly unethical,,,,
45,0.5725 ,,Privacy Issue. They are selling your data and targeting you with ads. Grave culture within the company.,,,,
46,0.5723 ,,No privacy. You legit cant uninstall it with some devices and it finds profiles of my family even when I dont add anything in my profile for them to find my family members,,,,
47,0.5719 ,,Do You Like Privacy?. If you like privacy you will delete you Active Facebook Account. Facebook sells personal data to malicious third party groups and other malicious groups.Dont use Facebook.,,,,
48,0.5711 ,,Privacy Nightmare. Facebook wants way too much control over my phone and tracks a disturbing amount of data for what should essentially be just a web browser. Super creepy.,,,,
49,0.5705 ,,"Facebook intelligence. Facebook is using my camera, keyboard, restricting and modifying any information or news I receive. Its pretty funny how the number one social media app in the world is a tool to actually limit our human constitutional rights. People need to wake up.",,,,
50,0.5697 ,,Restricting/Banning. Facebook is restricting and banning accounts for sharing information from their own platform.  Regular users should not be attacked for sharing content that you allow on your platform.  The originator of the material should be the individual(s) in question.,,,,
51,0.5688 ,,"Facebook is a Cesspool. Cesspool of lies, politics, fake news, threats, sex and pornography, illegal immigration business and people fighting over their own 2 cents, political views and personal feelings. This social media can be used for so many illegal activities. I once reported an account of my friend that was made a copy and have been requesting us to accept her friend request and been asking for money but she said its not actually her and its been using all her details from name to photos. So what we did was report it to Facebook and the Goddamn reply was this dis not go against Facebook policy That blew me off",,,,
52,0.5687 ,,Beware of Being censored. Anything that you might share regardless off being true or not Facebook will censor if they find it not to be true. Keep doing it &amp; you will be thrown out of Facebook.,,,,
53,0.5684 ,,I just hate Facebook. Its about privacy. At this point Im using it because forced by coworker and my job.,,,,
54,0.5664 ,,"Facebook reality. Facebook has changed a lot now, they  try to control what you see and share, they restrict your account when they feel or want to without you making something bad, wish we could be free to share our thoughts like we used to do before.",,,,
55,0.5661 ,,Should be called spy book. All they do is spy on you selling your information to other companies. As soon as you look something up you start seeing advertisements on Facebook immediately for what you just looked up. If you disagree with anything they say they claim you go against community standards and put you in jail. But they dont absolutely describe what the community standards are as they change minute by minute.,,,,
56,0.5660 ,,"Facebook cares ;). If youre looking for a single location where companies cane mine data about who you are and what you do, and of course how you think, this is the app for you. Not only can you train an ai to recognize yours and your acquaintances faces, as well as attribute that data to your views and reluctant needs, but you can create a web of data to pigeon hole yourself into the projected personas you created, and any possible way that corporations can market yo your deepest insecurities. What do you have to lose?",,,,
57,0.5631 ,,"Invasive, Avoid at all costs. Bias party and concerning privacy breaches. UPDATE: So I had this one individual contact me condescendingly about how much he doesnt like the price at which Im selling something at marketplace and then reports me, facebook without gathering any data terminates my account. Facebook has grown to be a disease to our nation and individuality. Privacy is not respected whatsoever, the most invasive site on the web next to google.Avoid facebook. Its only value was the marketplace and the ability to save game data. The measures they take to collect your information is concerning.",,,,
58,0.5630 ,,"Steals everything. Facebook just steals all your info , sells it you get nothing but spam and adds in return .",,,,
59,0.5626 ,,Snoops on private data. Sick of things I text about or talk about showing up in ads on Facebook. I have tracking turned off.  Sick of the creepiness. Isnt it illegal to steal this data?,,,,
60,0.5620 ,,Facebook is liberal garbage. They sell your private information. Dont download this crap.,,,,
61,0.5608 ,,Its Facebook. They want to sell your personal data and ruin your life.,,,,
62,0.5596 ,,"Ok but it wants to know my personal informations. This app wanted to know what my personal informations are. I only used it to find my family (my Moms side families), but someone is trying to bully my family and me. I wanted her (Heidi) to be removed off from FB, so my family and I would be safer.",,,,
63,0.5575 ,,"Completely Policed and Suffocates Freedom of Speech. The only benefit Facebook still has is connecting with friends and family I know closely. Other than that, they use their algorithms to tag normal factual things you post or say regarding current topics as false or requiring fact checking if they are contrary to Facebooks agenda. The few good things it provides are severely outweighed by all the toxic fear-mongering topics that are shared in accordance with Facebooks agenda. And good luck if you have facts or opinions that contradict this agenda youll be labeled as a false information spreader. Facebook is doing nothing but stressing people out and causing them to become more polarized and divided than ever. Shame on you, Facebook",,,,
64,0.5571 ,,DANGEROUS SPYING WITHOUT USER PERMISSION. Pretty gross how Facebook was recently proven to collect plenty of user data without your permission and then use it against you,,,,
65,0.5568 ,,Need to fine another place. Facebook is not safe for privacy,,,,
66,0.5556 ,,No privacy. My page has been hacked twice Thad it thats all done with Facebook its a scam,,,,
67,0.5553 ,,Promotes Human Trafficking and other inappropriate behavior. This company believes they possess the virtual right to promote disgusting behavior. Facebook needs to either fix its privacy issues or get KICKED OFF THE APP STORE.,,,,
68,0.5549 ,,"Facebooks CEO,admins, ignorance and carelessness. Facebook is not safe anymore. Nobody can have personal online privacy without local or unknown people placing their force fed unwanted advertising or personal blogging junk on others newsfeeds. Nobody can express themselves and their entitled opinions anymore without someone feeling so offended that they have to cry like a little 5 yr to Facebook admins as if the sky was about to fall on them. Facebooks community standards are nothing but a joke. Whats the purpose of having Facebook, Twitter and so on if one cant enjoy themselves safely and securely?",,,,
69,0.5536 ,,"FB has gone down hill. Interesting how Facebook can link all your personal data to everything out there leaving you wide open, but when it comes to censoring information ? They try to force their beliefs and opinions  on you that are not based on facts or science.  They rely on Google for information? Google is also owned and controlled by those with an agenda. Dont believe me? Learn how to research. Its the epitome of hypocrisy.  Facebook cannot differentiate between real journalism and hyperbole and try to force their opinions on you. How old do you have to be a FB user and yet we are treated like 5 year olds. Punishments are common for posting against their political ideologies disguised as community standards. Whose community? Not mine.   It is mind blowing how some can be fooled by the floral language. Seems like Facebook is owned by the Chinese Communist Party. So sad. Communism paints a glorious picture of living in an ideal society but history proves time and again that dictators love control, power, and oppressing those beneath  them.   If I could give negative stars, I would.",,,,
70,0.5536 ,,"Individuals believe that the database and privacy security features can be further improved. Facebook is praiseworthy of bringing convenience to the Internets social platforms, but at the same time there are also some areas that can further improve privacy and information security functions in social and media, and there are better defenses on data platforms.",,,,
71,0.5530 ,,"Facebook Uses You. There are well detailed complaints already posted about the failings of Facebook. We\'ve long been aware of the crimes and offenses of the Zuckerberg- lead company. Our hope is that their spying, stealing, and general indifference to you and us catches up with them, and that they come to realize their egregious offenses, which are perpetrated against us, freedom, and the privileges they enjoy but deprive of others, such as privacy. Bravo to those ex-Facebook employees who have spoken out against this corrupted company.",,,,
72,0.5521 ,,Fraud. Facebook has always been fake and a big fraud nothing is private so be careful what you post on it,,,,
73,0.5513 ,,Facebook/Meta. This FB was designed to spy on people.  It has evil roots and everyones info is being gathered to further do damage to our world,,,,
74,0.5513 ,,"Lots of information stolen. Ive reported multiple accounts that are made from people that stole pictures and other information from other people. When its reported, Facebook just talks to our friend  what the heck? Take down the profile thats a hack",,,,
75,0.5511 ,,Facebook needs to do better. On facebook if you report something as bad as people leaking your address they dont care. They wont do anything about it.,,,,
76,0.5509 ,,Shame on FB. Facebook is not a place where you can express your views freely.  You can express what FB fact checkers deem facts.  They control what you see and hear.  It is a dangerous threat to our democracy to have this social media platform able to mold our perception of the world.   All social media platforms need oversight by a third party to ensure freedom of speech.  Bad,,,,
77,0.5504 ,,"Thank you Apple for guarding our privacy. Over the past year, Facebooks true intentions have been revealed. The world finally has gotten a glimpse at the man behind the curtain (a certain freckle skinned curly haired young CEO). Facebook does not care about choice, disclosures, or privacy. They want to control the entire experience. Many thanks to Apple for standing up to this very corrupt company and making it so users have a choice about such things as tracking. My only suggestion is to Apple: stop with the soft language when asking users if they wish to allow an app to track. To Facebook: your day of reckoning is upon you. The cat is out of the bag and the world is fully aware of your despicable behavior. Users are shutting down your tracking ability, advertisers are reconsidering their allotted Facebook advertising budgets, and Congress is debating how to real you in.",,,,
78,0.5502 ,,Garbage. Facebook is no longer safe in any way Dont put up pictures because they are now property of Facebook and you no longer have rights (even a picture of your own child). Any information is sold about you to whoever wants to pay or it. COMPLETE SECURITY BREACH,,,,
79,0.5501 ,,No privacy. I do not trust this social media site.,,,,
80,0.5494 ,,"Should be criminal activity. Blatantly tries to steal your user data to seek for a profit. Im not saying other websites dont do the same, but Facebook goes farther and acts more entitled than any other group/company I can think of.",,,,
81,0.5490 ,,privacy. Its have zero privacy,,,,
82,0.5478 ,,No privacy. Also they dont watch the content close enoughLots of inappropriate content that is not taking down even if reported,,,,
83,0.5468 ,,Facebook fact checker. You share post of other peoples and  Facebook block us with up to 3 months without be able to share nothing .,,,,
84,0.5460 ,,"Spreads disinformation. Facebook knowingly allows the spread of dangerous disinformation. They do not remove posts that violate their policies, and they dont remove posts that are detrimental to society, the environment, and democracy.",,,,
85,0.5458 ,,"They need to protects the users more. Yeah the amount of scammers and hackers on there is unreal, and I recently lost my Facebook to a hacker and now I just have no idea how to get it back or make a new one I cant find a phone number everything seems overly complicated to try and get help especially when you just lost all your info to a random person that decided they want your acount just to delete it or to harass the people I know puts a bad image on my name",,,,
86,0.5453 ,,"Data Mining. Facebook mines your datas and sells it to Cambridge Analytica to use for targeted advertisements and more. Anything you put on there is up for grabs. Be careful. Ive deactivated for a few now and suggest all of you to do the same. They now change their name to Meta to try to leave their sketchy past behind them, but dont be fooled, they are not changing their practice at all. It just goes down hill from here. Be Warned.",,,,
87,0.5445 ,,"Facebook App uses up Way Too much memory. Facebook platform/app is thumbs up as far as a social app , but I completely DISAGREE WITH FACT CHECKING It definitely VIOLATES MY FREEDOM OF SPEECH AND MY PRIVACYJoining Facebook Im offered choice if I want my account to be PUBLIC or PRIVATE AND FACEBOOK OFFERS CHOICES/OPTIONS FOR THE POSTS THE USER MAKES EITHER PUBLIC OR PRIVATE Now LETS GO BACK TO THE INITIAL CHOICE OF MAKING YOUR FACEBOOK ACCOUNT PUBLIC OR PRIVATE:1. My ACCOUNT IS PRIVATE 2.MY FRIENDS LIST IS PRIVATE 3.ANYTHING I POST IS PRIVATE AND ONLY MY FRIENDS AND FAMILY CAN VIEW MY POSTS , COMMENTS, AND PICTURES UNLESS I CHOOSE TO MAKE ANY OF IT PUBLIC.So if my account is not viewable in any way besides a profile picture, WHY ARE STRANGERS CALLED FACT CHECKERS ACCESSING MY PRIVATE PERSONAL INFORMATION AND DECIDING WHATS ACCEPTABLE AND WHATS NOT? IT COMPLETELY WRONG AND VIOLATES MY CONSTITUTIONAL RIGHTS TO FREEDOM OR SPEECH AND MY PRIVACY and along with a whole list of many other issues I will not post.. ( LETS NOT MENTION SCAMMERS AND CYBER CRIMINALS SPOOFING AND SCAMMING PEOPLE AND MAKING FACEBOOK ACCOUNT WITH YOUR NAME AND PICTUREIt was great in the beginning but now , personally feel violated in many ways.. what a shame..RUMBLE RUMBLE RUMBLE",,,,
88,0.5437 ,,No privacy. I was checking my privacy sitting and I found out that Facebook has been recording all my web browsers history( Microsoft edge and Google Chrome) be extra careful from this awful platform META,,,,
89,0.5433 ,,Worst social media platform of all time. Facebook has fact checkers that lie and hide real truthful news. They block you from posting for days on end for sharing anything that does not fit their policial agenda.  Their stock has plummeted.  Thank god everyone is leaving.,,,,
90,0.5425 ,,Privacy on posts. I do not understand why my privacy option in settings on who sees my posts was taken away. I should not have to go into each post and manually change the audience. I now see why Meta is under investigation. Yet you claim to be so secure for people. Obviously that was a lie.,,,,
91,0.5415 ,,"Photos. Our photos should be private not for everyone to see. And freedom of speech shouldnt be censored. We have a right to speak our minds. If what people post isnt true then you/Facebook shouldnt allow it. And if it is then you shouldnt have fact checkers marking it as false. Sad world we live in when social media, isnt social media no more.",,,,
92,0.5407 ,,Facebooks Inability to Privatize Profile Is Disgusting. The fact that they allow photos of my kids out float out there without my permission is absolutely horrendous. The photos are not from any family members. They are school pictures that allow name labeling without our permission.Facebook will sell your data to the next highest bidder. Run away from this app.,,,,
93,0.5406 ,,Violations of Privacy for Starters. Be careful what you Google. I googled a mild anti-depressant. Then my feed was flooded with all kinds of anti-depressant ads suicide health info etc. Why do I get ads for dating apps when my profile says Im married?I got 2 warnings in 1 day. One was from a private group I created 2 years ago a support group for sp ed parents. It never took only a few posts in it and then it was dormant for over a year. I got a warning over this and there was nothing that bad in it. Conversation I had been going on all day and my friend was out to dinner and it continued on FB and others jumped in. I made the last comment there are many laugh emojis. I was told it went against their standards and they removed it. I follow 2 politicians. I see the nastiest stuff but they dont do anything about that. I reported when I saw that someone called someone s fng c. Checked a couple days later. Still there   If you see an item such as a T-shirt you look at then flooded with more T-Shirt ads I purposely cut my friends list down to just under 60. Enough of the drama. I staying in touch with friends and family not in the area and local family during the pandemic. Sharing pictures. Constantly have to scroll to find this. I was staying on Bc our school PTO puts out info or parents can ask questions.Are they even violate the privacy of that Public schools To answer someone above there is no technical support. You have to try to find the answer on the Internet.Maybe instead of spending so much time in feeding our privacy they could use that time more wisely and create technical support. Im done as soon as my family and I find a better way to stay in touch. Looking like text/email.Instagram is better but not by much,,,,
94,0.5381 ,,"Facebook doesnt care about your security. I can report obviously fake profiles posting scam links & or malware, and every time they decided not to take the profile down.  The company consistently puts users and their information security at risk by their poor business practices and standards.",,,,
95,0.5369 ,,nazi lovers. facebook protects nazis and sells all of your private information,,,,
96,0.5369 ,,vr. i dont want any of my social media connected to my facebook. it uses my real name which is personal information. it makes everything more difficult on the oculus 1/10,,,,
97,0.5353 ,,Invasion of privacy. Too much personal information being exploited,,,,
98,0.5352 ,,Read. Facebook used to be great and simple of course there would be a few bugs and things but it wasnt bad the algorithm has gone awful you cant make things private anymore you used to be able to keep your personal things personal and not just entirely public even though it is a public app there should be better limitations especially for peoples family you should have better options for what you can and cannot do you used to have a choice now its either put everything out there or nothing at all i myself have used it for years its sad to see it go so far downhill and many other people have said so and its still going unnoticed facebook do better if your going to download it you should know the risks upfront,,,,
99,0.5350 ,,"Facebook manipulates you. Facebook preys on your emotions to get you to use their services more frequently, and for their own profit. Dont be used by anyone. Do not use their services any longer.",,,,
100,0.5350 ,,"Censors information, claims to know all truth under the sun. Sick and tired of Facebook censoring posts with valuable information that the public ought to know.  Facebook censors truthful information while boosting falsehoods.",,,,
101,0.5349 ,,Show the Others. To many updates for Facebook to not be able to show the others that view your stories. Facebook show the others name so we can know who is watching us,,,,
102,0.5348 ,,"Bad for you. Bad for everybody. Just ask yourself: how does a company which trades in your personal, private business make so much money? Heck, just do a search and see. Social media has been bad for children, adults, entire continents. Its not hyperbolic, when you think of the number of folks using this service. And Facebook (Meta good luck with that rebranding PR), of all social media, has been the absolute worst. Users should have figured that out when Zuck laughed about people being stupid, handing over personal, private information. We left FB in 2009 (about the time they claimed copyright over every photo, video, thought, posted) and have looked on from the sidelines as the world just kinda forgot? how to be civil?  And now FB is just a great place to about into a loud echo chamber with only like-minded. Real growth there, folks. Super job shepherding humanity into the 21st century.  Do yourselves a favor: quit. Free is never free. And Facebook is just plain bad for people. It is. (Also, if our personal information is worth so much, why cant we see it? Why arent we allowed to review it? Lastly, why cant we sell it ourselves? Letting some third party in your home to steal your privacy is just stupid.)",,,,
103,0.5344 ,,Help me understand. Why do I need to provide my card information to redownload Facebook? I dont make purchases from it so why does it need my account information to login???,,,,
104,0.5343 ,,"Its all about collecting personal data. I just created a profile after months. I deleted my old account as I felt fb was into my life too much. Plus most of the suggestions were very segregated as I only had access to people who look like me despite the diversity in my personal life. I had my old account since 2015. Anyways, I created a profile just 20 minutes ago. I put a facebook cover up of my business like Ive always done in the past. Didnt put a profile pic up yet as I wanted to put one up that was really liked. I modified some settings and decided Ill come back after a break to finish. Facebook sent me an e-mail 5 minutes after signing out saying my account was disabled for breaking community guidelines. There are so many ways to connect with people in the world without this platform. If I immediately posted all of my personal information I guarantee my profile would still be up and running. These big sell out companies show their true colors every time. I dont take this personal and happy facebook did me a favor.",,,,
105,0.5327 ,,"Ehh. Ive been using Facebook religiously since 2009, back in July someone hacked my Facebook and Instagram, since they were intertwined, and there was NO physical way for me to get it back since they changed my email, password, and number. When reported I get a notification on my new facebook saying that someone reported the profile because theyre claiming/ pretending to be me but then yall reply saying that they are me and they didnt cross any community guidelines. They had been sending a picture of my drivers license to people through messenger trying to scam them and Ive received messages being cussed out because my old profile ripped them off. Really only keeping it around because thats how I keep up with friends since theyve gone all over the place since graduation. I lost pictures, conversations with friends that have passed, and things that Ive been sharing/ memories I had made as statuses over the last 12 years. If yall want it poppin like it use to be, you need to take what complaints are out there into consideration and fix it. Also need to monitor for scammers when reported and do something about it.",,,,
106,0.5322 ,,"Major privacy concerns. Besides the annoying repetitive ads, major major major privacy invasion Why would you want Fb to see your offline activity? Sounds psychotic to me They can see everything outside the usage of app such as all private conversations, calls, bank apps, etc. It is a NO for me, mind boggling to say the least.",,,,
107,0.5301 ,,"Left leaning. Facebook collects too much information on its users. Also censors what THEY deem false information yet doesnt give the user any room to prove their argument. Labeling content false for all to see.   This is supposed to be a social platform, NOT a newspaper",,,,
108,0.5300 ,,"Big Brother is always watching you. Everything you do on this platform, you are being watched. Your data is gathered to use against you. Facebook, Meta, whatever you want to call it, passes major privacy laws. Do what you will with that information.",,,,
109,0.5298 ,,"Lack of Security. Facebook was very quick in notifying that someone else tried to access my account. However, when I tried to report about the issue, nothing happened. Theres no customer service to make sure they are increasing security and privacy.",,,,
110,0.5297 ,,High tech industries spay on you because of Facebook. Facebook is bad it let the highTech company to access personal information. Its supper stupidity,,,,
111,0.5296 ,,"The leak of privacy. FB is the worst social media alongside instagram viber and whatsup where you privacy is definitely ruined The only reason Ive been keeping this peace of Zuckerberg is, that Im waiting for something replacement of one from Apple.",,,,
